01_prenom,02_genre,03_nom,04_age,05_niveau,06_attaque,07_defense,08_physique,09_technique,10_endurance,11_forme
aaliyah,f,SMITH,33,Adulte,54,85,49,47,54,37
aapeli,m,JOHNSON,21,Adulte,48,78,55,62,68,85
aapo,m,WILLIAMS,27,Adulte,69,66,81,81,54,40
aaren,m,BROWN,14,Junior,96,34,62,82,78,72
aarne,m,JONES,17,Junior,92,99,57,82,68,58
aarón,m,MILLER,13,Junior,87,64,51,100,86,80
aaron,m,DAVIS,29,Adulte,82,45,73,70,57,94
aatami,m,GARCIA,14,Junior,33,57,77,65,100,44
aatto,m,RODRIGUEZ,19,Adulte,89,80,92,78,77,85
aatu,m,WILSON,27,Adulte,65,50,87,94,82,72
abaddon,m,MARTINEZ,14,Junior,33,93,45,53,83,89
abbán,m,ANDERSON,14,Junior,68,76,87,73,65,93
'abbas,m,TAYLOR,33,Adulte,70,98,72,67,99,66
abbey,f,THOMAS,12,Junior,30,70,30,44,78,49
abbie,f,HERNANDEZ,32,Adulte,58,68,43,72,52,45
abby,f,MOORE,21,Adulte,88,35,84,73,33,71
abd-al-aziz,m,MARTIN,30,Adulte,83,43,45,73,38,33
abd-allah,m,JACKSON,23,Adulte,62,88,44,61,64,91
abd-al-malik,m,THOMPSON,17,Junior,35,58,97,45,88,36
abd-al-qadir,m,WHITE,26,Adulte,83,78,81,68,70,39
abd-al-rahman,m,LOPEZ,26,Adulte,87,64,30,53,50,79
abdul,m,LEE,12,Junior,64,81,94,72,36,40
abdul-aziz,m,GONZALEZ,12,Junior,47,38,37,75,44,90
abdullah,m,HARRIS,22,Adulte,76,47,78,59,40,73
abdul-rahman,m,CLARK,20,Adulte,97,66,84,97,41,36
abe,m,LEWIS,13,Junior,40,49,30,32,62,57
abednego,m,ROBINSON,17,Junior,90,37,63,51,53,49
abegail,f,WALKER,19,Adulte,99,37,97,38,40,68
ábel,m,PEREZ,17,Junior,57,84,84,43,96,89
abel,m,HALL,13,Junior,66,51,95,61,74,87
abelone,f,YOUNG,11,Junior,93,91,43,81,67,97
abena,f,ALLEN,14,Junior,41,34,69,68,51,54
abeni,f,SANCHEZ,31,Adulte,52,94,65,66,42,70
abhay,m,WRIGHT,27,Adulte,48,35,65,83,91,31
abiah,m,KING,29,Adulte,65,79,40,37,96,61
abidan,m,SCOTT,11,Junior,50,42,50,50,58,48
abidemi,m,GREEN,13,Junior,52,97,84,73,60,56
abiel,m,BAKER,28,Adulte,37,75,76,66,79,82
abigail,f,ADAMS,11,Junior,92,77,75,74,51,81
abigayle,f,NELSON,22,Adulte,60,43,75,30,83,50
abihu,m,HILL,25,Adulte,74,91,93,72,70,70
abijah,m,RAMIREZ,10,Junior,48,90,79,74,53,63
abilene,f,CAMPBELL,16,Junior,100,43,56,41,70,83
abimael,m,MITCHELL,14,Junior,34,33,47,58,91,81
abiram,m,ROBERTS,31,Adulte,85,76,54,62,77,87
abisai,m,CARTER,27,Adulte,40,34,42,62,54,89
abishag,f,PHILLIPS,17,Junior,80,96,45,82,45,87
abishai,m,EVANS,26,Adulte,72,63,32,53,86,77
abital,f,TURNER,31,Adulte,96,55,32,49,75,98
